index,URL,Date,Event,Location,TYPE,Artist,ArtistID,ArtistPOP,TracksID,TracksPOP,Tracks
0,https://www.muffatwerk.de/de/events/view/6826/richard-siegal-ballet-of-difference-am-schauspiel-koeln,1900-03-01 00:00:00,Richard Siegal / Ballet Of Difference am Schauspiel Köln,Muffathalle,tanz,['richard siegal / ballet of difference am schauspiel köln'],,,,,
1,https://www.muffatwerk.de/de/events/view/6874/wortspiele-24,1900-03-13 00:00:00,Wortspiele 24,Ampere,lesung,['wortspiele 24'],,,,,
91,https://milla-club.de/snaked/,2023-10-13 22:00:00,Snaked,milla_club,konzert,['snaked'],[[['4aWlLqGY4OasqLqGqbGmEJ']]],[[[12]]],"[[['6PoA1hSRxxXPngzHNPVDF0', '6dkwqUV2Aqz1lFlyUbVKxY', '0egtMD0ZVx7xp0KhoNdR1P', '3IZNUvLrjjDorGIKjd42La', '1xDQLNONwsTRdJ6IhNcHpY', '0yqTw9iWxfsHgc3ABgMA0V', '5IcApU6xyPHeHuE6M6icE0', '1IDTbnEEftbJezGjFU5jg0', '3zILcUspT9Ozk9mSQsNmZJ', '4otkhBP3Kx66DfDiNdM3co']]]","[[[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]]]","[[['1IDTbnEEftbJezGjFU5jg0', '3zILcUspT9Ozk9mSQsNmZJ', '6PoA1hSRxxXPngzHNPVDF0']]]"
90,https://milla-club.de/oum-shatt/,2023-10-13 22:00:00,OUM SHATT,milla_club,konzert,['oum shatt'],[[['3lQXHxiyVJnxHfRznEpgAT']]],[[[29]]],"[[['6RLaMJszaIAYBq6nqHJJSK', '1McTZhC5JeEmEm0AbiAefJ', '2KdebgluqLBrSKJbaEfbLl', '0q3FUmAdtgcMMbbxNHrG3M', '0RhmzTZizoeGowNyhUvTtk', '774YgnFqUriD8Qr3jdHXmo', '1cMw1pMxg0dTkSceaaNPIw', '3UrPCrJGLaBZGj9w8EzT62', '7gWC5uHFUCbG7o1VTWqqYY', '5wGBV3Hrcevi37CHAbrsdX']]]","[[[40, 39, 36, 34, 27, 27, 24, 23, 21, 20]]]","[[['5wGBV3Hrcevi37CHAbrsdX', '6RLaMJszaIAYBq6nqHJJSK', '774YgnFqUriD8Qr3jdHXmo']]]"
89,https://milla-club.de/mc-fitti/,2023-10-13 22:00:00,Mc Fitti,milla_club,konzert,['mc fitti'],[[['22s3c52N3peN95URzypPcD']]],[[[32]]],"[[['6hl9FbCq5MhrQwDXWBXYAX', '5V8gB5srvL1DhRu4XWAT86', '6llof0mUy7e1ZHIn0ZPOPV', '44eUY8EMuj5tRvSXIeQ4gU', '6YuTLTO3N4YoBSdAMdk4ac', '1YDALpNMBXhW8pfhUSD1lA', '4xVxLZY5MgyrrIqyEzkFn2', '5FAxTqpKp0E6RxlZR24PVm', '7MzLtklwJebFuMdZIe3aSa', '35NN50ByqaOJymqcC0drjR']]]","[[[36, 37, 36, 34, 33, 32, 23, 28, 28, 27]]]","[[['44eUY8EMuj5tRvSXIeQ4gU', '4xVxLZY5MgyrrIqyEzkFn2', '5V8gB5srvL1DhRu4XWAT86']]]"
88,https://milla-club.de/jazz-jam-11/,2023-10-13 22:00:00,Jazz Jam,milla_club,konzert,['jazz jam'],[[['2VQmB7dgKLHJve0htcYfiQ']]],[[[55]]],"[[['2EhrFpsVC4rkiCf86AeVdv', '7h4Ayplz18fKgoPUIWfaJd', '4z3fcWQdyZEs6lULJ87TI0', '6Bp14zQZMHbZGOSuTIHkyF', '1byqPlC5Auv9pmaCJpGGqQ', '0WYwVCkmXls0rYnZrruAX4', '0rlmAIIhMnD1750HZibwLD', '2EQ3JTfKv0W4bfpwp7Q0N4', '5sO9OlDHzrdh3yqT89Cpce', '0yd29PdljMYYz4yNL9ZhzF']]]","[[[70, 63, 59, 54, 53, 53, 50, 49, 48, 47]]]","[[['2EhrFpsVC4rkiCf86AeVdv', '4z3fcWQdyZEs6lULJ87TI0', '5sO9OlDHzrdh3yqT89Cpce']]]"
87,https://milla-club.de/snaked-4/,2023-10-13 22:00:00,Snaked,milla_club,konzert,['snaked'],[[['4aWlLqGY4OasqLqGqbGmEJ']]],[[[13]]],"[[['6PoA1hSRxxXPngzHNPVDF0', '0egtMD0ZVx7xp0KhoNdR1P', '3IZNUvLrjjDorGIKjd42La', '1xDQLNONwsTRdJ6IhNcHpY', '5IcApU6xyPHeHuE6M6icE0', '1IDTbnEEftbJezGjFU5jg0', '0ruTb9H5Gsn87dSSxcBEmb', '52IbFlRtVEIOAmbudY9IiL', '6fkus89Xl1r1oFtrV3nMQh', '2yEVWCx6ffFhfumxcfEUoq']]]","[[[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]]]","[[['0egtMD0ZVx7xp0KhoNdR1P', '52IbFlRtVEIOAmbudY9IiL', '6PoA1hSRxxXPngzHNPVDF0']]]"
86,https://milla-club.de/leepa/,2023-10-13 22:00:00,Leepa,milla_club,konzert,['leepa'],[[['066IQRKXdi1o3b9yGxA2SD']]],[[[22]]],"[[['5f9lBYomdenoiOavfabNjO', '6YaIvnJ3xDgIleE5m3GAEr', '6ifyDNIdDnD3SHMuaYWwZc', '4JBTSU5cDBGiVXb2kRH8eg', '5ondzWcRZXnixWizu8XlmH', '34ImV9YmppIaXayZqaGUSL', '2WojSryq2dTZpfiiEYXd3o', '0xmR39qz8TYHv9fvyDnyND', '73vhZMtYh8yhVXRxj31W4U', '4zPPAj4gNo8MTKnI9tncv6']]]","[[[36, 30, 29, 24, 24, 23, 15, 15, 15, 13]]]","[[['4JBTSU5cDBGiVXb2kRH8eg', '5f9lBYomdenoiOavfabNjO', '73vhZMtYh8yhVXRxj31W4U']]]"
85,https://milla-club.de/babyjoy/,2023-10-13 22:00:00,Babyjoy,milla_club,konzert,['babyjoy'],[[['2vYWyXs1PJbycPBdTstmHH']]],[[[34]]],"[[['27lsKT7aicPSe25W8dJDkz', '6iefKfSK9HhdlmWYmlDYxd', '7zQLIwLNwBN3ROhK9WnUN9', '1qirlQtWZulUNAOIgPdLDP', '6vnK6m82kGEII1bQstL8mn', '37tWlTeN975o0Fgj2nkPiZ', '65XW1pLfvgQxCs9P0oh53c', '4PePacEBpwgoFYRGzWWPj6', '1gl7rZAiELPBLgGbPxEM3F', '2YL8BBwGLp4yoDp3klp36u']]]","[[[44, 39, 38, 34, 35, 36, 33, 32, 30, 28]]]","[[['27lsKT7aicPSe25W8dJDkz', '2YL8BBwGLp4yoDp3klp36u', '4PePacEBpwgoFYRGzWWPj6']]]"
84,https://milla-club.de/maustetytoet/,2023-10-13 22:00:00,Maustetytöt,milla_club,konzert,['maustetytöt'],[[['7JHNSkrbx2b0w8psFeVE4I']]],[[[43]]],"[[['3MST6myDUVA6tzowlQ58I4', '35rwukSC1bcXPYRpK0THwh', '4isqhUp7UWzvZ89Kr3RAs5', '0J30i3NsFhUoMnve9MJEYA', '2jw6EiDFfXh0mbR3DjHQnD', '2Q1BUsfJoxEUVwiSFtyDP6', '5KBrwjWmgsOzU0MZyWCDvu', '4EhjCPddaariB4ugB9fwFP', '66go5THWDUfLYZ458mtCdw', '2DMiIxgZGx5QLgXC5x6Qv8']]]","[[[52, 46, 45, 44, 41, 38, 38, 39, 38, 35]]]","[[['3MST6myDUVA6tzowlQ58I4', '4EhjCPddaariB4ugB9fwFP', '5KBrwjWmgsOzU0MZyWCDvu']]]"
